Num1,Num2,Num3,Num4,Num5,PowerBall,PowerPlay
1,4,45,67,47,18,2
1,12,66,20,33,21,2
1,12,69,18,14,2,3
1,16,13,43,3,24,2
1,19,52,40,37,15,3
1,21,3,57,47,18,2
1,21,19,11,68,15,2
1,22,68,47,11,7,4
1,28,3,67,57,9,2
1,30,27,2,67,9,5
1,40,28,48,45,12,2
1,40,69,33,35,24,5
1,55,33,28,56,22,2
1,66,20,22,60,3,3
1,67,51,40,6,2,2
1,68,36,22,9,22,2
1,69,19,3,13,23,2
2,10,66,67,25,26,4
2,22,63,19,18,19,3
2,23,8,18,21,16,4
2,24,8,69,14,26,2
2,28,9,36,53,4,2
2,28,51,58,24,7,3
2,29,9,27,42,9,2
2,29,15,27,39,20,2
2,33,13,32,48,22,2
2,39,69,32,46,6,2
2,44,42,51,27,25,2
2,46,12,52,65,3,2
2,47,55,40,53,20,2
2,50,10,59,61,6,3
2,61,38,66,21,12,2
2,62,40,50,3,5,2
2,64,31,27,44,18,3
2,65,60,18,56,14,3
3,4,28,12,22,16,2
3,17,13,52,42,24,4
3,17,49,68,55,8,2
3,18,36,53,27,12,2
3,21,29,24,9,14,2
3,21,59,50,38,6,3
3,26,51,35,6,17,4
3,33,16,30,36,20,3
3,34,27,59,69,19,2
3,40,16,60,48,14,2
3,40,58,8,53,3,3
3,44,69,61,63,13,2
3,45,25,14,18,7,2
3,46,20,23,15,11,2
3,46,24,10,63,4,2
3,54,20,59,48,4,4
3,55,10,44,68,24,2
3,57,1,2,59,9,2
3,59,37,51,18,13,2
3,63,27,65,30,1,3
3,64,68,61,54,9,2
3,64,69,68,57,15,3
3,67,41,4,11,5,2
4,6,66,16,39,9,2
4,7,55,32,64,25,2
4,8,46,23,65,1,2
4,11,38,51,68,5,3
4,11,67,1,59,10,2
4,15,62,32,5,21,2
4,16,2,30,46,20,2
4,24,47,66,19,10,2
4,29,24,39,63,25,4
4,34,61,31,38,13,2
4,34,69,38,35,19,2
4,43,62,52,35,12,2
4,47,48,8,46,5,3
4,49,61,17,35,8,2
4,53,6,48,3,10,2
4,55,37,29,67,10,4
4,58,44,35,41,25,3
4,59,23,9,6,25,3
4,68,59,69,19,21,2
5,10,3,22,32,7,4
5,25,36,61,51,1,3
5,28,6,67,4,10,2
5,33,35,11,63,14,2
5,34,24,31,7,4,2
5,34,39,19,8,26,3
5,34,56,45,12,3,3
5,35,63,60,45,12,2
5,36,53,6,69,8,2
5,38,22,58,32,26,2
5,39,28,20,42,13,2
5,43,65,18,33,2,2
5,64,36,26,69,19,3
5,65,8,66,41,20,3
6,23,51,25,34,3,2
6,31,37,10,44,23,2
6,32,3,12,64,19,3
6,34,33,59,58,12,2
6,38,53,39,13,6,3
6,40,37,13,8,11,2
6,43,48,50,8,7,2
6,45,47,42,64,18,3
6,49,39,67,3,21,2
6,51,36,54,14,4,2
6,52,40,45,41,9,3
6,54,23,39,21,23,2
6,54,43,28,39,12,4
6,56,53,30,24,19,2
6,58,66,25,35,5,2
6,61,42,1,22,4,3
6,62,32,47,65,19,2
6,65,49,67,21,18,2
7,1,30,50,2,8,5
7,1,61,57,44,21,3
7,4,14,59,46,22,10
7,5,39,24,31,7,3
7,13,10,24,11,24,2
7,15,36,18,19,20,2
7,15,67,46,36,7,2
7,21,19,63,54,21,2
7,22,15,36,64,13,2
7,24,50,49,33,4,5
7,26,16,23,6,4,4
7,28,40,17,45,2,3
7,33,59,10,21,20,3
7,36,31,15,34,8,3
7,39,2,3,1,25,3
7,40,29,35,45,26,2
7,41,15,4,44,10,2
7,41,29,43,36,5,2
7,43,56,4,2,22,4
7,44,57,10,20,3,2
7,56,61,16,41,23,3
7,61,41,47,32,3,2
7,67,20,29,38,22,2
7,68,9,26,44,3,3
8,5,17,28,27,14,3
8,6,68,20,52,5,2
8,11,49,16,14,14,3
8,12,26,42,39,11,2
8,15,59,34,53,23,2
8,17,15,53,66,14,3
8,17,52,59,49,1,2
8,19,47,58,12,2,2
8,25,12,41,64,15,3
8,27,34,4,19,10,2
8,29,23,62,9,13,2
8,29,51,58,41,5,2
8,33,59,55,62,18,2
8,38,55,52,43,17,3
8,41,38,25,34,10,3
8,44,61,51,27,14,3
8,46,48,53,42,22,3
8,49,57,30,21,8,2
8,62,31,36,15,11,3
9,3,10,20,62,25,3
9,3,20,42,61,24,2
9,3,33,7,31,20,3
9,17,34,59,64,22,2
9,32,5,7,23,26,4
9,42,10,55,32,6,2
9,45,39,31,40,23,3
9,47,20,25,68,7,2
9,52,18,8,48,6,2
9,56,58,23,68,1,2
9,60,64,43,57,10,2
9,61,28,40,30,3,2
9,62,12,7,31,22,2
9,64,29,21,4,26,2
9,66,21,57,56,11,2
9,66,55,59,69,21,2
10,2,44,35,46,4,2
10,3,15,42,33,11,2
10,7,68,64,63,10,3
10,8,41,21,62,7,3
10,20,29,48,51,17,2
10,31,23,28,11,14,2
10,33,41,12,36,2,3
10,37,59,53,30,4,2
10,40,16,18,66,16,3
10,43,17,18,65,13,5
10,47,68,65,50,24,2
10,53,50,63,14,21,2
10,56,6,31,48,12,3
10,56,24,61,5,12,2
10,58,47,11,55,26,2
10,65,23,21,35,24,2
10,67,33,24,6,11,3
11,7,12,27,46,26,3
11,9,5,33,64,21,3
11,20,4,69,1,18,2
11,24,13,39,3,22,3
11,39,65,44,19,7,2
11,43,61,15,55,10,3
11,50,40,17,62,26,2
11,53,47,30,29,16,3
11,60,23,54,43,3,3
11,62,65,38,41,15,3
11,69,13,56,55,4,2
12,1,44,28,35,25,3
12,2,17,20,65,17,4
12,8,21,32,20,10,4
12,14,21,4,55,7,4
12,17,10,9,23,9,2
12,20,32,27,6,4,3
12,21,14,34,20,22,2
12,24,6,41,68,9,3
12,30,47,62,36,9,4
12,34,53,65,29,23,2
12,40,25,61,59,26,2
12,43,17,26,48,24,2
12,51,44,8,18,18,2
12,52,17,23,67,1,2
12,55,67,27,34,9,2
12,57,38,15,63,24,2
12,59,46,26,22,26,2
12,60,9,15,31,2,2
12,61,2,64,45,26,2
12,61,30,29,33,26,3
12,61,54,38,36,22,3
12,64,50,61,2,1,2
13,4,36,31,52,8,3
13,6,20,54,35,22,2
13,7,6,1,40,5,5
13,7,49,24,57,15,3
13,9,48,42,60,18,2
13,11,46,22,27,20,2
13,12,8,27,19,4,3
13,28,5,63,38,21,5
13,29,43,58,22,22,3
13,30,37,18,11,16,3
13,35,1,4,58,24,2
13,36,37,6,33,7,4
13,38,45,20,55,1,2
13,45,33,30,61,14,2
13,47,55,23,58,23,10
13,62,10,53,32,21,2
13,66,2,23,34,2,4
13,67,12,34,44,8,3
14,2,3,40,51,24,3
14,5,29,38,66,1,2
14,5,64,19,46,22,4
14,12,57,1,24,7,4
14,13,50,60,37,11,2
14,18,19,64,32,9,2
14,19,47,51,39,15,3
14,20,69,23,53,4,2
14,23,38,7,55,18,2
14,23,41,61,22,9,3
14,24,7,30,56,7,2
14,33,4,61,39,3,3
14,33,64,67,18,14,2
14,37,67,47,55,6,2
14,38,60,35,17,25,2
14,42,43,52,40,17,3
14,42,64,16,48,14,2
14,45,69,41,42,4,2
14,47,57,23,11,14,4
14,56,27,4,23,13,2
14,61,29,31,56,1,2
14,65,11,43,32,15,3
15,7,29,41,20,22,2
15,8,46,56,68,3,2
15,10,12,56,19,19,2
15,18,6,33,49,7,2
15,22,46,27,33,23,3
15,27,69,7,3,19,2
15,30,47,50,51,3,10
15,33,43,36,20,12,2
15,43,21,24,5,17,3
15,43,41,19,18,14,2
15,46,21,1,32,1,3
15,46,66,17,1,15,3
15,47,22,6,42,26,3
15,48,16,41,60,21,3
15,48,23,27,53,6,2
15,49,2,30,35,6,2
15,52,25,58,14,11,2
15,57,18,47,17,19,2
15,62,7,21,33,23,2
15,67,10,21,69,3,2
15,67,64,45,68,18,2
16,1,54,63,69,18,3
16,2,12,29,54,6,2
16,3,7,66,1,5,5
16,5,12,31,43,18,4
16,5,67,18,26,4,3
16,8,54,33,24,18,2
16,10,52,40,55,17,10
16,11,9,66,5,7,2
16,14,58,37,48,18,2
16,15,56,31,24,4,2
16,31,68,30,54,1,2
16,35,53,18,39,21,3
16,36,25,44,55,14,3
16,40,8,48,1,10,2
16,46,10,56,7,1,2
16,53,23,50,14,3,3
16,53,29,66,21,2,5
16,53,65,57,54,8,2
16,60,3,56,9,3,3
16,67,17,53,20,4,2
16,68,48,7,19,15,2
17,3,22,11,6,11,2
17,3,54,38,26,15,3
